timestamp,controller,controller_type,recipe,pv_mean,pv_std,pv_range,sp_mean,co_mean,co_std,aae,iae,co_travel,pct_auto,dominant_mode,oscillation_index,n_samples
2018-05-01T04:00:00+00:00,PIC-001,Pressure,Recipe A,4.5078,1.0384,5.1853,4.25,37.651,0.2781,0.8989,3236.0292,14.5563,100.0,Auto,19,120
2018-05-01T05:00:00+00:00,PIC-001,Pressure,Recipe A,4.18,0.8275,4.3399,4.25,37.4499,0.2217,0.6475,2331.1348,14.6956,100.0,Auto,33,120
2018-05-01T06:00:00+00:00,PIC-001,Pressure,Recipe A,4.2376,0.8706,3.9757,4.25,37.9147,0.2185,0.7261,2614.0004,14.5043,100.0,Auto,29,120
2018-05-01T07:00:00+00:00,PIC-001,Pressure,Recipe A,4.3378,0.9719,4.6412,4.25,37.7665,0.2813,0.8035,2892.4749,15.9612,100.0,Auto,23,120
2018-05-01T08:00:00+00:00,PIC-001,Pressure,Recipe A,3.9501,0.9816,4.3399,4.25,37.4556,0.3932,0.8423,3032.3036,17.0915,100.0,Auto,41,120
2018-05-01T09:00:00+00:00,PIC-001,Pressure,Recipe A,4.3928,0.9549,4.0971,4.25,37.6952,0.2475,0.7861,2829.9617,15.7099,100.0,Auto,30,120
2018-05-01T10:00:00+00:00,PIC-001,Pressure,Recipe A,4.6501,0.8015,3.8586,4.25,37.1124,0.4275,0.7211,2596.0656,16.4166,100.0,Auto,44,120
2018-05-01T11:00:00+00:00,PIC-001,Pressure,Recipe A,4.2603,0.7935,3.256,4.25,36.5712,0.221,0.6539,2354.0919,14.9192,100.0,Auto,40,120
2018-05-01T12:00:00+00:00,PIC-001,Pressure,Recipe A,4.1312,0.9725,4.7041,4.25,36.9018,0.2647,0.7866,2831.9307,15.3184,100.0,Auto,28,120
2018-05-01T13:00:00+00:00,PIC-001,Pressure,Recipe A,4.1336,0.7821,4.2185,4.25,37.1381,0.193,0.6058,2180.7342,15.3849,100.0,Auto,29,120
2018-05-01T14:00:00+00:00,PIC-001,Pressure,Recipe A,4.252,0.9251,4.1015,4.25,37.3772,0.2283,0.7592,2733.2702,14.619,100.0,Auto,31,120
2018-05-01T15:00:00+00:00,PIC-001,Pressure,Recipe A,4.2085,1.2839,5.5473,4.25,36.8815,0.485,1.0877,3915.744,15.604,100.0,Auto,23,120
2018-05-01T16:00:00+00:00,PIC-001,Pressure,Recipe A,4.2051,0.8814,5.3631,4.25,37.5151,0.2272,0.7057,2540.38,17.4091,100.0,Auto,40,120
2018-05-01T17:00:00+00:00,PIC-001,Pressure,Recipe A,4.3605,0.9841,4.457,4.25,37.9359,0.3004,0.8083,2909.7688,15.9515,100.0,Auto,31,120
2018-05-01T18:00:00+00:00,PIC-001,Pressure,Recipe A,4.1259,0.8915,4.4613,4.25,37.7388,0.211,0.7106,2558.0934,19.5728,100.0,Auto,46,120
2018-05-01T19:00:00+00:00,PIC-001,Pressure,Recipe A,4.5827,0.8758,4.5827,4.25,36.9961,0.2477,0.7898,2843.4072,16.7786,100.0,Auto,36,120
2018-05-01T20:00:00+00:00,PIC-001,Pressure,Recipe A,4.1534,0.9272,3.8543,4.25,36.6877,0.2519,0.7798,2807.1036,16.8349,100.0,Auto,31,120
2018-05-01T21:00:00+00:00,PIC-001,Pressure,Recipe A,4.1745,0.8148,3.8565,4.25,37.475,0.2778,0.6577,2367.639,15.6404,100.0,Auto,37,120
2018-05-01T22:00:00+00:00,PIC-001,Pressure,Recipe A,4.0958,0.8536,5.1268,4.25,37.2584,0.3311,0.7124,2564.7987,14.3159,100.0,Auto,29,120
2018-05-01T23:00:00+00:00,PIC-001,Pressure,Recipe A,4.2187,0.9821,4.8255,4.25,37.8609,0.241,0.7973,2870.359,17.084,100.0,Auto,33,120
2018-05-02T00:00:00+00:00,PIC-001,Pressure,Recipe A,3.8977,0.8899,4.5783,4.25,38.3877,0.4834,0.7397,2663.0434,17.3088,100.0,Auto,38,120
2018-05-02T01:00:00+00:00,PIC-001,Pressure,Recipe A,4.6462,0.8256,4.1578,4.25,38.0025,0.3475,0.7321,2635.4934,16.2452,100.0,Auto,44,120
2018-05-02T02:00:00+00:00,PIC-001,Pressure,Recipe A,4.1514,1.1459,5.0596,4.25,38.1788,0.3353,0.9503,3420.9889,17.3951,100.0,Auto,31,120
2018-05-02T03:00:00+00:00,PIC-001,Pressure,Recipe A,4.0576,0.8191,4.1578,4.25,37.8967,0.2887,0.6713,2416.7034,16.7524,100.0,Auto,41,120
2018-05-02T04:00:00+00:00,PIC-001,Pressure,Recipe A,4.2608,0.8018,3.7372,4.25,38.3121,0.2015,0.6589,2372.0231,15.1979,100.0,Auto,30,120
2018-05-02T05:00:00+00:00,PIC-001,Pressure,Recipe A,4.4748,1.0115,4.8211,4.25,37.6257,0.2883,0.8616,3101.7932,17.3495,100.0,Auto,37,120
2018-05-02T06:00:00+00:00,PIC-001,Pressure,Recipe A,4.2674,0.8292,4.1578,4.25,37.7382,0.1899,0.6946,2500.6034,16.8226,100.0,Auto,42,120
2018-05-02T07:00:00+00:00,PIC-001,Pressure,Recipe A,4.0324,0.8948,4.9425,4.25,38.05,0.349,0.6982,2513.5352,19.0355,100.0,Auto,45,120
