order_id,order_date,customer_id,country,city,channel,category,subcategory,unit_price,quantity,discount,revenue,cost
O1,2024-06-24 06:00:00,C10211,Canada,Vancouver,Web,Sports,Sports Sub5,32.52,1,0.0,32.52,18.02
O2,2024-03-09 02:00:00,C10823,USA,Seattle,Web,Electronics,Electronics Sub4,48.88,3,0.0,146.63,89.99
O3,2024-11-08 07:00:00,C10494,Sweden,Malmö,Retail,Electronics,Electronics Sub4,10.0,1,0.0,10.0,7.03
O4,2024-10-06 19:00:00,C11175,Sweden,Stockholm,Retail,Electronics,Electronics Sub1,19.18,1,0.0,19.18,13.7
O5,2025-05-31 21:00:00,C10741,France,Lyon,Web,Sports,Sports Sub2,79.57,3,0.27,174.39,188.3
O6,2024-02-05 04:00:00,C11007,USA,Seattle,Mobile App,Sports,Sports Sub3,267.7,3,0.05,762.16,521.45
O7,2024-06-29 05:00:00,C10190,Sweden,Gothenburg,Web,Sports,Sports Sub5,132.8,1,0.0,132.8,81.95
O8,2024-02-19 19:00:00,C10988,India,Mumbai,Web,Electronics,Electronics Sub2,103.3,4,0.0,413.2,324.73
O9,2024-09-04 10:00:00,C10932,Brazil,Rio de Janeiro,Mobile App,Home,Home Sub3,125.0,3,0.06,351.29,222.14
O10,2024-10-17 08:00:00,C10269,USA,Austin,Retail,Home,Home Sub2,82.85,2,0.33,110.25,118.68
O11,2025-04-26 16:00:00,C10822,Canada,Vancouver,Web,Electronics,Electronics Sub2,74.71,1,0.0,74.71,54.1
O12,2025-10-01 14:00:00,C10011,Australia,Melbourne,Web,Beauty,Beauty Sub1,105.64,2,0.08,194.37,126.11
O13,2025-07-13 11:00:00,C11091,France,Lyon,Web,Fashion,Fashion Sub3,78.32,2,0.0,156.64,107.11
O14,2025-08-11 20:00:00,C10380,USA,San Francisco,Web,Home,Home Sub1,136.78,3,0.0,410.33,238.81
O15,2025-03-09 09:00:00,C10121,Germany,Berlin,Mobile App,Electronics,Electronics Sub1,10.0,3,0.0,30.0,23.67
O16,2025-03-04 04:00:00,C10549,Brazil,Brasília,Marketplace,Fashion,Fashion Sub2,180.7,1,0.05,172.51,119.48
O17,2025-04-01 07:00:00,C10126,Brazil,Rio de Janeiro,Mobile App,Sports,Sports Sub3,105.06,1,0.0,105.06,83.67
O18,2025-08-07 15:00:00,C10195,Netherlands,Amsterdam,Web,Electronics,Electronics Sub3,10.0,4,0.0,40.0,25.28
O19,2024-05-16 22:00:00,C11184,Canada,Vancouver,Retail,Home,Home Sub3,58.32,2,0.0,116.64,82.93
O20,2024-02-29 21:00:00,C10014,France,Lyon,Marketplace,Electronics,Electronics Sub3,231.12,1,0.0,231.12,175.45
O21,2024-10-17 10:00:00,C10959,USA,San Francisco,Web,Sports,Sports Sub5,134.26,1,0.3,93.52,81.05
O22,2024-05-30 09:00:00,C11103,Germany,Berlin,Mobile App,Beauty,Beauty Sub3,48.21,1,0.0,48.21,34.09
O23,2024-06-22 07:00:00,C10243,Netherlands,Amsterdam,Retail,Fashion,Fashion Sub4,96.7,3,0.0,290.11,186.7
O24,2025-09-22 11:00:00,C10174,Netherlands,Rotterdam,Mobile App,Home,Home Sub5,73.48,3,0.0,220.44,124.1
O25,2024-12-12 22:00:00,C10601,Australia,Sydney,Mobile App,Home,Home Sub2,118.47,2,0.0,236.94,184.46
O26,2024-01-11 13:00:00,C10624,France,Lyon,Mobile App,Sports,Sports Sub1,170.27,2,0.0,340.54,223.24
